name,attack,base_egg_steps,capture_rate,defense,experience_growth,hp,sp_attack,sp_defense,type1,type2,speed,is_legendary
Houndoom,90,5120,45.0,90,1250000,75,90,115,dark,fire,35.0,False
Blastoise,103,5120,45.0,120,1059860,79,115,78,water,,85.5,False
Amaura,59,7680,45.0,50,1000000,77,63,46,rock,ice,25.2,False
Kricketot,25,3840,255.0,41,1059860,37,41,25,bug,,2.2,False
Magneton,60,5120,60.0,95,1000000,50,70,70,electric,steel,60.0,False
Heracross,185,6400,45.0,115,1250000,80,105,75,bug,fighting,54.0,False
Stunky,63,5120,225.0,47,1000000,63,41,74,poison,dark,19.2,False
Shroomish,40,3840,255.0,60,1640000,60,60,35,grass,,4.5,False
Gyarados,155,1280,45.0,109,1250000,95,130,81,water,flying,235.0,False
Swablu,40,5120,255.0,60,600000,45,75,50,normal,flying,1.2,False
Vanillish,65,5120,120.0,65,1250000,51,75,59,ice,,41.0,False
Shuckle,10,5120,190.0,230,1059860,20,230,5,bug,rock,20.5,False
Klink,55,5120,130.0,70,1059860,40,60,30,steel,,21.0,False
Yungoos,70,3840,255.0,30,1000000,48,30,45,normal,,6.0,False
Torchic,60,5120,45.0,40,1059860,45,50,45,fire,,2.5,False
Burmy,29,3840,120.0,45,1000000,40,45,36,bug,,3.4,False
Conkeldurr,140,5120,45.0,95,1059860,105,65,45,fighting,,87.0,False
Garchomp,170,10240,45.0,115,1250000,108,95,92,dragon,ground,95.0,False
Purrloin,50,5120,255.0,37,1000000,41,37,66,dark,,10.1,False
Mudsdale,125,5120,60.0,100,1000000,100,85,35,ground,,920.0,False
Magikarp,10,1280,255.0,55,1250000,20,20,80,water,,10.0,False
Oshawott,55,5120,45.0,45,1059860,55,45,45,water,,5.9,False
Cherrim,60,5120,75.0,70,1000000,70,78,85,grass,,9.3,False
Silvally,95,30720,3.0,95,1250000,95,95,95,normal,,100.5,False
Abra,20,5120,200.0,15,1059860,25,55,90,psychic,,19.5,False
Zebstrika,100,5120,75.0,63,1000000,75,63,116,electric,,79.5,False
Gliscor,95,5120,30.0,125,1059860,75,75,95,ground,flying,42.5,False
Caterpie,30,3840,255.0,35,1000000,45,20,45,bug,,2.9,False
Tentacool,40,5120,190.0,35,1250000,40,100,70,water,poison,45.5,False
Slowpoke,65,5120,190.0,65,1000000,90,40,15,water,psychic,36.0,False
Spheal,40,5120,255.0,50,1059860,70,50,25,ice,water,39.5,False
Feebas,15,5120,255.0,20,600000,20,55,80,water,,7.4,False
Budew,30,5120,255.0,35,1059860,40,70,55,grass,poison,1.2,False
Spinda,60,3840,255.0,60,800000,60,60,60,normal,,5.0,False
Spritzee,52,5120,200.0,60,1000000,78,65,23,fairy,,0.5,False
Ledyba,20,3840,255.0,30,800000,40,80,55,bug,flying,10.8,False
Zangoose,115,5120,90.0,60,600000,73,60,90,normal,,40.3,False
Palossand,75,3840,60.0,110,1000000,85,75,35,ghost,ground,250.0,False
Chingling,30,6400,120.0,50,800000,45,50,45,psychic,,0.6,False
Sentret,46,3840,255.0,34,1000000,35,45,20,normal,,6.0,False
Skitty,45,3840,255.0,45,800000,50,35,50,normal,,11.0,False
Pikipek,75,3840,255.0,30,1000000,35,30,65,normal,flying,1.2,False
Heliolisk,55,5120,75.0,52,1000000,62,94,109,electric,normal,21.0,False
Zubat,45,3840,255.0,35,1000000,40,40,55,poison,flying,7.5,False
Quilava,64,5120,45.0,58,1059860,58,65,80,fire,,19.0,False
